normalizer,source_token,class_sequence
PHONO-WG-v1/ReF,fert,F E R T
PHONO-WG-v1/ReF,pillende,P I L L E N T E
PHONO-WG-v1/ReF,reh,R E H
PHONO-WG-v1/ReF,ter,T E R
PHONO-WG-v1/ReF,Von,F O N
PHONO-WG-v1/ReF,díner,T I N E R
PHONO-WG-v1/ReF,gegenwertí,K E K E N W E R T I
PHONO-WG-v1/ReF,keit,K E I T
PHONO-WG-v1/ReF,gegenwertíkeit,K E K E N W E R T I K E I T
PHONO-WG-v1/ReF,ander,A N T E R
PHONO-WG-v1/ReF,wider,W I T E R
PHONO-WG-v1/ReF,widervmbe,W I T E R F M P E
PHONO-WG-v1/ReF,dv,T F
PHONO-WG-v1/ReF,lange,L A N K E
PHONO-WG-v1/ReF,zite,S I T E
PHONO-WG-v1/ReF,begirde,P E K I R T E
PHONO-WG-v1/ReF,gert,K E R T
PHONO-WG-v1/ReF,begert,P E K E R T
PHONO-WG-v1/ReF,fv,F F
PHONO-WG-v1/ReF,gete,K E T E
PHONO-WG-v1/ReF,ez,E S
PHONO-WG-v1/ReF,got,K O T
PHONO-WG-v1/ReF,dír,T I R
PHONO-WG-v1/ReF,gerne,K E R N E
PHONO-WG-v1/ReF,heímeliche,H E I M E L I X E
PHONO-WG-v1/ReF,wer,W E R
PHONO-WG-v1/ReF,nv,N F
PHONO-WG-v1/ReF,t,T
PHONO-WG-v1/ReF,alleíne,A L L E I N E
PHONO-WG-v1/ReF,Das,T A S
PHONO-WG-v1/ReF,rden,R T E N
PHONO-WG-v1/ReF,herze,H E R S E
PHONO-WG-v1/ReF,míne,M I N E
PHONO-WG-v1/ReF,ele,E L E
PHONO-WG-v1/ReF,rehte,R E H T E
PHONO-WG-v1/ReF,male,M A L E
PHONO-WG-v1/ReF,alzu,A L S U
PHONO-WG-v1/ReF,gege,K E K E
PHONO-WG-v1/ReF,n,N
PHONO-WG-v1/ReF,welle,W E L L E
PHONO-WG-v1/ReF,mv,M F
PHONO-WG-v1/ReF,offen,O F F E N
PHONO-WG-v1/ReF,bo,P O
PHONO-WG-v1/ReF,ren,R E N
PHONO-WG-v1/ReF,offenbo,O F F E N P O
PHONO-WG-v1/ReF,agen,A K E N
PHONO-WG-v1/ReF,allen,A L L E N
PHONO-WG-v1/ReF,mínen,M I N E N
PHONO-WG-v1/ReF,heím,H E I M
PHONO-WG-v1/ReF,melichen,M E L I X E N
PHONO-WG-v1/ReF,heímmelichen,H E I M M E L I X E N
PHONO-WG-v1/ReF,grvnt,K R F N T
PHONO-WG-v1/ReF,alles,A L L E S
PHONO-WG-v1/ReF,das,T A S
PHONO-WG-v1/ReF,weis,W E I S
PHONO-WG-v1/ReF,dc,T K
PHONO-WG-v1/ReF,ie,I E
PHONO-WG-v1/ReF,fant,F A N T
PHONO-WG-v1/ReF,vil,F I L
PHONO-WG-v1/ReF,zites,S I T E S
PHONO-WG-v1/ReF,mír,M I R
PHONO-WG-v1/ReN,Wy,W I
PHONO-WG-v1/ReN,Radmanne,R A T M A N N E
PHONO-WG-v1/ReN,old,O L T
PHONO-WG-v1/ReN,vnd,F N T
PHONO-WG-v1/ReN,nyen,N I E N
PHONO-WG-v1/ReN,di,T I
PHONO-WG-v1/ReN,nu,N U
PHONO-WG-v1/ReN,syn,S I N
PHONO-WG-v1/ReN,na,N A
PHONO-WG-v1/ReN,vns,F N S
PHONO-WG-v1/ReN,tukomende,T U K O M E N T E
PHONO-WG-v1/ReN,synt,S I N T
PHONO-WG-v1/ReN,in,I N
PHONO-WG-v1/ReN,der,T E R
PHONO-WG-v1/ReN,stad,S T A T
PHONO-WG-v1/ReN,olden,O L T E N
PHONO-WG-v1/ReN,berlin,P E R L I N
PHONO-WG-v1/ReN,Bekennen,P E K E N N E N
PHONO-WG-v1/ReN,betugen,P E T U K E N
PHONO-WG-v1/ReN,dessen,T E S S E N
PHONO-WG-v1/ReN,yegenwor,I E K E N W O R
PHONO-WG-v1/ReN,digen,T I K E N
PHONO-WG-v1/ReN,open,O P E N
PHONO-WG-v1/ReN,briue,P R I U E
PHONO-WG-v1/ReN,vor,F O R
PHONO-WG-v1/ReN,allen,A L L E N
PHONO-WG-v1/ReN,luden,L U T E N
PHONO-WG-v1/ReN,en,E N
PHONO-WG-v1/ReN,horen,H O R E N
PHONO-WG-v1/ReN,lesen,L E S E N
PHONO-WG-v1/ReN,vornemen,F O R N E M E N
PHONO-WG-v1/ReN,dat,T A T
PHONO-WG-v1/ReN,wi,W I
PHONO-WG-v1/ReN,met,M E T
PHONO-WG-v1/ReN,ge,K E
PHONO-WG-v1/ReN,meynen,M E I N E N
PHONO-WG-v1/ReN,rade,R A T E
PHONO-WG-v1/ReN,volbedachten,F O L P E T A X T E N
PHONO-WG-v1/ReN,mude,M U T E
PHONO-WG-v1/ReN,wittenscap,W I T T E N S K A P
PHONO-WG-v1/ReN,vulbord,F U L P O R T
PHONO-WG-v1/ReN,vnser,F N S E R
PHONO-WG-v1/ReN,werken,W E R K E N
PHONO-WG-v1/ReN,gantzen,K A N T S E N
PHONO-WG-v1/ReN,gemeynheit,K E M E I N H E I T
PHONO-WG-v1/ReN,eyndrechtigliken,E I N T R E X T I K L I K E N
PHONO-WG-v1/ReN,hebben,H E P P E N
PHONO-WG-v1/ReN,vorkouft,F O R K O U F T
PHONO-WG-v1/ReN,vorkopen,F O R K O P E N
PHONO-WG-v1/ReN,recht,R E X T
PHONO-WG-v1/ReN,redeliken,R E T E L I K E N
PHONO-WG-v1/ReN,craft,K R A F T
PHONO-WG-v1/ReN,desses,T E S S E S
PHONO-WG-v1/ReN,brifs,P R I F S
PHONO-WG-v1/ReN,den,T E N
PHONO-WG-v1/ReN,erliken,E R L I K E N
PHONO-WG-v1/ReN,wisen,W I S E N
PHONO-WG-v1/ReN,pristeren,P R I S T E R E N
PHONO-WG-v1/ReN,dar,T A R
PHONO-WG-v1/ReN,sint,S I N T
PHONO-WG-v1/ReN,voreniget,F O R E N I K E T
PHONO-WG-v1/ReN,gesament,K E S A M E N T
PHONO-WG-v1/ReN,oder,O T E R
PHONO-WG-v1/ReN,vmmer,F M M E R
PHONO-WG-v1/ReN,vorenyget,F O R E N I K E T
PHONO-WG-v1/ReN,mo,M O
PHONO-WG-v1/ReN,gen,K E N
PHONO-WG-v1/ReN,werden,W E R T E N
PHONO-WG-v1/ReN,tukomenden,T U K O M E N T E N
PHONO-WG-v1/ReN,tijden,T I J T E N
PHONO-WG-v1/ReN,ewichlichen,E W I X L I X E N
PHONO-WG-v1/ReN,dem,T E M
PHONO-WG-v1/ReN,kalende,K A L E N T E
PHONO-WG-v1/ReN,ebenumeden,E P E N U M E T E N
PHONO-WG-v1/ReN,Berlin,P E R L I N
PHONO-WG-v1/ReN,ses,S E S
PHONO-WG-v1/ReN,punt,P U N T
PHONO-WG-v1/ReN,gewonliker,K E W O N L I K E R
PHONO-WG-v1/ReN,berlinischer,P E R L I N I SH E R
PHONO-WG-v1/ReN,penninge,P E N N I N K E
PHONO-WG-v1/ReN,Jerliker,J E R L I K E R
PHONO-WG-v1/ReN,renten,R E N T E N
PHONO-WG-v1/ReN,vnde,F N T E
PHONO-WG-v1/ReN,ewiger,E W I K E R
PHONO-WG-v1/ReN,plicht,P L I X T
PHONO-WG-v1/ReN,sy,S I
PHONO-WG-v1/ReN,scolen,S K O L E N
PHONO-WG-v1/ReN,nemen,N E M E N
PHONO-WG-v1/ReN,alle,A L L E
PHONO-WG-v1/ReN,Jare,J A R E
PHONO-WG-v1/ReN,von,F O N
PHONO-WG-v1/ReN,deme,T E M E
PHONO-WG-v1/ReN,sehe,S E H E
PHONO-WG-v1/ReN,by,P I
