normalizer,source_token,class_sequence
PHONO-FR-v1,quant,K A N T
PHONO-FR-v1,pensé,P E N S E
PHONO-FR-v1,advint,A T F I N T
PHONO-FR-v1,rompu,R O M P U
PHONO-FR-v1,recommancé,R E K O M M A N S E
PHONO-FR-v1,combien,K O M P I E N
PHONO-OIT-v1,Convivio,K O N F I F I O
PHONO-OIT-v1,edizione,E T I T S I O N E
PHONO-OIT-v1,elettronica,E L E T T R O N I K A
PHONO-OIT-v1,lemmatizzata,L E M M A T I T S T S A T A
PHONO-OIT-v1,Dante,T A N T E
PHONO-OIT-v1,Alighieri,A L I K I E R I
PHONO-OIT-v1,Lemmatizzazione,L E M M A T I T S T S A T S I O N E
PHONO-OIT-v1,e,E
PHONO-OIT-v1,marcatura,M A R K A T U R A
PHONO-OIT-v1,grammaticale,K R A M M A T I K A L E
PHONO-OIT-v1,a,A
PHONO-OIT-v1,cura,K U R A
PHONO-OIT-v1,di,T I
PHONO-OIT-v1,Samuela,S A M U E L A
PHONO-OIT-v1,Brunamonti,P R U N A M O N T I
PHONO-OIT-v1,Mirko,M I R K O
PHONO-OIT-v1,Tavoni,T A F O N I
PHONO-OIT-v1,Universit,U N I F E R S I T
PHONO-OIT-v1,amp,A M P
PHONO-OIT-v1,agrave,A K R A F E
PHONO-OIT-v1,Pisa,P I S A
PHONO-OIT-v1,Corso,K O R S O
PHONO-OIT-v1,Laurea,L A U R E A
PHONO-OIT-v1,in,I N
PHONO-OIT-v1,Informatica,I N F O R M A T I K A
PHONO-OIT-v1,Umanistica,U M A N I S T I K A
PHONO-OIT-v1,Franca,F R A N K A
PHONO-OIT-v1,Brambilla,P R A M P I L L A
PHONO-OIT-v1,Ageno,A SH E N O
PHONO-OIT-v1,Le,L E
PHONO-OIT-v1,Lettere,L E T T E R E
PHONO-OIT-v1,Firenze,F I R E N T S E
PHONO-OIT-v1,Il,I L
PHONO-OIT-v1,progetto,P R O SH E T T O
PHONO-OIT-v1,si,S I
PHONO-OIT-v1,propone,P R O P O N E
PHONO-OIT-v1,mettere,M E T T E R E
PHONO-OIT-v1,disposizione,T I S P O S I T S I O N E
PHONO-OIT-v1,l,L
PHONO-OIT-v1,intero,I N T E R O
PHONO-OIT-v1,corpus,K O R P U S
PHONO-OIT-v1,delle,T E L L E
PHONO-OIT-v1,opere,O P E R E
PHONO-OIT-v1,Ogni,O NY I
PHONO-OIT-v1,forma,F O R M A
PHONO-OIT-v1,usata,U S A T A
PHONO-OIT-v1,egrave,E K R A F E
PHONO-OIT-v1,stata,S T A T A
PHONO-OIT-v1,ricondotta,R I K O N T O T T A
PHONO-OIT-v1,al,A L
PHONO-OIT-v1,suo,S U O
PHONO-OIT-v1,lemma,L E M M A
PHONO-OIT-v1,arricchita,A R R I K K I T A
PHONO-OIT-v1,da,T A
PHONO-OIT-v1,un,U N
PHONO-OIT-v1,etichetta,E T I K E T T A
PHONO-OIT-v1,che,K E
PHONO-OIT-v1,ne,N E
PHONO-OIT-v1,esplicita,E S P L I SH I T A
PHONO-OIT-v1,il,I L
PHONO-OIT-v1,valore,F A L O R E
PHONO-OIT-v1,morfosintattico,M O R F O S I N T A T T I K O
PHONO-OIT-v1,L,L
PHONO-OIT-v1,elemento,E L E M E N T O
PHONO-OIT-v1,stato,S T A T O
PHONO-OIT-v1,implementato,I M P L E M E N T A T O
PHONO-OIT-v1,per,P E R
PHONO-OIT-v1,categorizzare,K A T E K O R I T S T S A R E
PHONO-OIT-v1,ciascuna,SH I A SH U N A
PHONO-OIT-v1,secondo,S E K O N T O
PHONO-OIT-v1,la,L A
PHONO-OIT-v1,categoria,K A T E K O R I A
PHONO-OIT-v1,racchiudere,R A K K I U T E R E
PHONO-OIT-v1,due,T U E
PHONO-OIT-v1,elementi,E L E M E N T I
PHONO-OIT-v1,LM,L M
PHONO-OIT-v1,nel,N E L
PHONO-OIT-v1,caso,K A S O
PHONO-OIT-v1,una,U N A
PHONO-OIT-v1,sia,S I A
PHONO-OIT-v1,ricoducibile,R I K O T U SH I P I L E
PHONO-OIT-v1,lemmi,L E M M I
PHONO-OIT-v1,latino,L A T I N O
PHONO-OIT-v1,greco,K R E K O
PHONO-OIT-v1,categorizzazione,K A T E K O R I T S T S A T S I O N E
PHONO-OIT-v1,Revisione,R E F I S I O N E
PHONO-OIT-v1,della,T E L L A
PHONO-OIT-v1,lemmatizzazione,L E M M A T I T S T S A T S I O N E
PHONO-OIT-v1,marzo,M A R T S O
PHONO-OIT-v1,Elena,E L E N A
PHONO-OIT-v1,Pierazzo,P I E R A T S T S O
PHONO-OIT-v1,Conversione,K O N F E R S I O N E
PHONO-OIT-v1,del,T E L
PHONO-OIT-v1,file,F I L E
PHONO-OIT-v1,dal,T A L
PHONO-OIT-v1,formato,F O R M A T O
PHONO-OIT-v1,DBT,T P T
PHONO-OIT-v1,XML,X M L
PHONO-OIT-v1,Razionalizzazione,R A T S I O N A L I T S T S A T S I O N E
PHONO-OIT-v1,codifica,K O T I F I K A
PHONO-OIT-v1,TRATTATO,T R A T T A T O
PHONO-OIT-v1,PRIMO,P R I M O
PHONO-OIT-v1,I,I
PHONO-OIT-v1,S,S
PHONO-OIT-v1,igrave,I K R A F E
PHONO-OIT-v1,come,K O M E
PHONO-OIT-v1,dice,T I SH E
PHONO-OIT-v1,lo,L O
PHONO-OIT-v1,Filosofo,F I L O S O F O
PHONO-OIT-v1,principio,P R I N SH I P I O
PHONO-OIT-v1,Prima,P R I M A
PHONO-OIT-v1,Filosofia,F I L O S O F I A
PHONO-OIT-v1,tutti,T U T T I
PHONO-OIT-v1,li,L I
PHONO-OIT-v1,uomini,U O M I N I
PHONO-OIT-v1,naturalmente,N A T U R A L M E N T E
PHONO-OIT-v1,desiderano,T E S I T E R A N O
PHONO-OIT-v1,sapere,S A P E R E
PHONO-OIT-v1,La,L A
PHONO-OIT-v1,ragione,R A SH I O N E
PHONO-OIT-v1,puote,P U O T E
PHONO-OIT-v1,essere,E S S E R E
PHONO-OIT-v1,ed,E T
PHONO-OIT-v1,cosa,K O S A
PHONO-OIT-v1,providenza,P R O F I T E N T S A
PHONO-OIT-v1,prima,P R I M A
PHONO-OIT-v1,natura,N A T U R A
PHONO-OIT-v1,impinta,I M P I N T A
PHONO-OIT-v1,inclinabile,I N K L I N A P I L E
PHONO-OIT-v1,alla,A L L A
PHONO-OIT-v1,sua,S U A
PHONO-OIT-v1,propia,P R O P I A
PHONO-OIT-v1,perfezione,P E R F E T S I O N E
PHONO-OIT-v1,onde,O N T E
PHONO-OIT-v1,acci,A K SH I
PHONO-OIT-v1,ograve,O K R A F E
PHONO-OIT-v1,scienza,SH I E N T S A
PHONO-OIT-v1,ultima,U L T I M A
PHONO-OIT-v1,nostra,N O S T R A
PHONO-OIT-v1,anima,A N I M A
PHONO-OIT-v1,nella,N E L L A
PHONO-OIT-v1,quale,K W A L E
PHONO-OIT-v1,sta,S T A
PHONO-OIT-v1,felicitade,F E L I SH I T A T E
PHONO-OIT-v1,desiderio,T E S I T E R I O
PHONO-OIT-v1,semo,S E M O
PHONO-OIT-v1,subietti,S U P I E T T I
PHONO-OIT-v1,Veramente,F E R A M E N T E
PHONO-OIT-v1,questa,K W E S T A
PHONO-OIT-v1,nobilissima,N O P I L I S S I M A
PHONO-OIT-v1,molti,M O L T I
PHONO-OIT-v1,sono,S O N O
PHONO-OIT-v1,privati,P R I F A T I
PHONO-OIT-v1,diverse,T I F E R S E
PHONO-OIT-v1,cagioni,K A SH I O N I
PHONO-OIT-v1,dentro,T E N T R O
PHONO-OIT-v1,all,A L L
PHONO-OIT-v1,uomo,U O M O
PHONO-OIT-v1,fuori,F U O R I
PHONO-OIT-v1,esso,E S S O
PHONO-OIT-v1,lui,L U I
PHONO-OIT-v1,rimovono,R I M O F O N O
PHONO-OIT-v1,dall,T A L L
PHONO-OIT-v1,abito,A P I T O
PHONO-OIT-v1,Dentro,T E N T R O
PHONO-OIT-v1,possono,P O S S O N O
PHONO-OIT-v1,difetti,T I F E T T I
PHONO-OIT-v1,impedimenti,I M P E T I M E N T I
PHONO-OIT-v1,uno,U N O
PHONO-OIT-v1,dalla,T A L L A
PHONO-OIT-v1,parte,P A R T E
PHONO-OIT-v1,corpo,K O R P O
PHONO-OIT-v1,altro,A L T R O
PHONO-OIT-v1,dell,T E L L
PHONO-OIT-v1,Dalla,T A L L A
PHONO-OIT-v1,quando,K W A N T O
PHONO-OIT-v1,le,L E
PHONO-OIT-v1,parti,P A R T I
PHONO-OIT-v1,indebitamente,I N T E P I T A M E N T E
PHONO-OIT-v1,disposte,T I S P O S T E
PHONO-OIT-v1,s,S
PHONO-OIT-v1,nulla,N U L L A
PHONO-OIT-v1,ricevere,R I SH E F E R E
PHONO-OIT-v1,pu,P U
PHONO-OIT-v1,sordi,S O R T I
PHONO-OIT-v1,muti,M U T I
PHONO-OIT-v1,loro,L O R O
PHONO-OIT-v1,simili,S I M I L I
PHONO-OIT-v1,malizia,M A L I T S I A
PHONO-OIT-v1,vince,F I N SH E
PHONO-OIT-v1,essa,E S S A
PHONO-OIT-v1,fa,F A
PHONO-OIT-v1,seguitatrice,S E K U I T A T R I SH E
PHONO-OIT-v1,viziose,F I T S I O S E
PHONO-OIT-v1,dilettazioni,T I L E T T A T S I O N I
PHONO-OIT-v1,nelle,N E L L E
PHONO-OIT-v1,quali,K W A L I
PHONO-OIT-v1,riceve,R I SH E F E
PHONO-OIT-v1,tanto,T A N T O
PHONO-OIT-v1,inganno,I N K A N N O
PHONO-LAT-v1,ARGUMENTUM,A R K U M E N T U M
PHONO-LAT-v1,Turnus,T U R N U S
PHONO-LAT-v1,ut,U T
PHONO-LAT-v1,extremo,E K S T R E M O
PHONO-LAT-v1,uitam,U I T A M
PHONO-LAT-v1,sub,S U P
PHONO-LAT-v1,Marte,M A R T E
PHONO-LAT-v1,profudit,P R O F U T I T
PHONO-LAT-v1,Subdunt,S U P T U N T
PHONO-LAT-v1,se,S E
PHONO-LAT-v1,Rutuli,R U T U L I
PHONO-LAT-v1,Aeneae,A E N E A E
PHONO-LAT-v1,Troiana,T R O I A N A
PHONO-LAT-v1,sequentes,S E K W E N T E S
PHONO-LAT-v1,Agmina,A K M I N A
PHONO-LAT-v1,dehinc,T E H I N C_FRONT
PHONO-LAT-v1,superis,S U P E R I S
PHONO-LAT-v1,meriti,M E R I T I
PHONO-LAT-v1,redduntur,R E T T U N T U R
PHONO-LAT-v1,honores,H O N O R E S
PHONO-LAT-v1,Congaudet,K O N K A U T E T
PHONO-LAT-v1,nato,N A T O
PHONO-LAT-v1,ac,A C_FRONT
PHONO-LAT-v1,sociis,S O C_FRONT I I S
PHONO-LAT-v1,memor,M E M O R
PHONO-LAT-v1,ante,A N T E
PHONO-LAT-v1,malorum,M A L O R U M
PHONO-LAT-v1,Actorum,A K T O R U M
PHONO-LAT-v1,pater,P A T E R
PHONO-LAT-v1,Aeneas,A E N E A S
PHONO-LAT-v1,Turni,T U R N I
PHONO-LAT-v1,inde,I N T E
PHONO-LAT-v1,Latinus,L A T I N U S
PHONO-LAT-v1,Morte,M O R T E
PHONO-LAT-v1,dolet,T O L E T
PHONO-LAT-v1,Patriae,P A T R I A E
PHONO-LAT-v1,miseranda,M I S E R A N T A
PHONO-LAT-v1,incendia,I N C_FRONT E N T I A
PHONO-LAT-v1,Daunus,T A U N U S
PHONO-LAT-v1,Euersae,E U E R S A E
PHONO-LAT-v1,et,E T
PHONO-LAT-v1,cari,K A R I
PHONO-LAT-v1,deflet,T E F L E T
PHONO-LAT-v1,pia,P I A
PHONO-LAT-v1,funera,F U N E R A
PHONO-LAT-v1,nati,N A T I
PHONO-LAT-v1,Connubium,K O N N U P I U M
PHONO-LAT-v1,instaurat,I N S T A U R A T
PHONO-LAT-v1,natae,N A T A E
PHONO-LAT-v1,laetosque,L A E T O S K W E
PHONO-LAT-v1,hymenaeos,H I M E N A E O S
PHONO-LAT-v1,Rex,R E K S
PHONO-LAT-v1,socer,S O C_FRONT E R
PHONO-LAT-v1,genero,G_FRONT E N E R O
PHONO-LAT-v1,gens,G_FRONT E N S
PHONO-LAT-v1,utraque,U T R A K W E
PHONO-LAT-v1,pacto,P A K T O
PHONO-LAT-v1,Foedere,F O E T E R E
PHONO-LAT-v1,pacis,P A C_FRONT I S
PHONO-LAT-v1,ouat,O U A T
PHONO-LAT-v1,tum,T U M
PHONO-LAT-v1,nomine,N O M I N E
PHONO-LAT-v1,coniugis,K O N I U G_FRONT I S
PHONO-LAT-v1,urbem,U R P E M
PHONO-LAT-v1,Instruit,I N S T R U I T
PHONO-LAT-v1,tandem,T A N T E M
PHONO-LAT-v1,placida,P L A C_FRONT I T A
PHONO-LAT-v1,pace,P A C_FRONT E
PHONO-LAT-v1,regentem,R E G_FRONT E N T E M
PHONO-LAT-v1,Transtulit,T R A N S T U L I T
PHONO-LAT-v1,Aeneam,A E N E A M
PHONO-LAT-v1,Uenus,U E N U S
PHONO-LAT-v1,astra,A S T R A
PHONO-LAT-v1,in,I N
PHONO-LAT-v1,summa,S U M M A
PHONO-LAT-v1,beatum,P E A T U M
PHONO-LAT-v1,deuictus,T E U I K T U S
PHONO-LAT-v1,Effugientem,E F F U G_FRONT I E N T E M
PHONO-LAT-v1,animam,A N I M A M
PHONO-LAT-v1,medioque,M E T I O K W E
PHONO-LAT-v1,agmine,A K M I N E
PHONO-LAT-v1,uictor,U I K T O R
PHONO-LAT-v1,Magnanimus,M A K N A N I M U S
PHONO-LAT-v1,stetit,S T E T I T
PHONO-LAT-v1,Mauortius,M A U O R T I U S
PHONO-LAT-v1,heros,H E R O S
PHONO-LAT-v1,Obstupuere,O P S T U P U E R E
PHONO-LAT-v1,omnes,O M N E S
PHONO-LAT-v1,gemitumque,G_FRONT E M I T U M K W E
PHONO-LAT-v1,dedere,T E T E R E
PHONO-LAT-v1,Latini,L A T I N I
PHONO-LAT-v1,Et,E T
PHONO-LAT-v1,durum,T U R U M
PHONO-LAT-v1,ex,E K S
PHONO-LAT-v1,alto,A L T O
PHONO-LAT-v1,reuomentes,R E U O M E N T E S
PHONO-LAT-v1,corde,K O R T E
PHONO-LAT-v1,dolorem,T O L O R E M
PHONO-LAT-v1,Concussis,K O N K U S S I S
PHONO-LAT-v1,cecidere,C_FRONT E C_FRONT I T E R E
PHONO-LAT-v1,animis,A N I M I S
PHONO-LAT-v1,ceu,C_FRONT E U
PHONO-LAT-v1,frondibus,F R O N T I P U S
PHONO-LAT-v1,ingens,I N G_FRONT E N S
PHONO-LAT-v1,Silua,S I L U A
PHONO-LAT-v1,lapsis,L A P S I S
PHONO-LAT-v1,boreali,P O R E A L I
PHONO-LAT-v1,impulsa,I M P U L S A
PHONO-LAT-v1,tumultu,T U M U L T U
PHONO-LAT-v1,Tum,T U M
PHONO-LAT-v1,tela,T E L A
PHONO-LAT-v1,infigunt,I N F I K U N T
PHONO-LAT-v1,terrae,T E R R A E
PHONO-LAT-v1,mucronibus,M U K R O N I P U S
PHONO-LAT-v1,haerent,H A E R E N T
PHONO-LAT-v1,Scutaque,S K U T A K W E
PHONO-LAT-v1,deponunt,T E P O N U N T
PHONO-LAT-v1,humeris,H U M E R I S
PHONO-LAT-v1,proelia,P R O E L I A
PHONO-LAT-v1,damnant,T A M N A N T
PHONO-LAT-v1,Insanumque,I N S A N U M K W E
PHONO-LAT-v1,horrent,H O R R E N T
PHONO-LAT-v1,optati,O P T A T I
PHONO-LAT-v1,Martis,M A R T I S
PHONO-LAT-v1,amorem,A M O R E M
PHONO-LAT-v1,Nec,N E C_FRONT
PHONO-LAT-v1,frenum,F R E N U M
PHONO-LAT-v1,nec,N E C_FRONT
PHONO-LAT-v1,colla,K O L L A
PHONO-LAT-v1,pati,P A T I
PHONO-LAT-v1,captiua,K A P T I U A
PHONO-LAT-v1,recusant,R E K U S A N T
PHONO-LAT-v1,ueniam,U E N I A M
PHONO-LAT-v1,orare,O R A R E
PHONO-LAT-v1,requiem,R E K W I E M
PHONO-LAT-v1,finemque,F I N E M K W E
PHONO-LAT-v1,Sicut,S I K U T
PHONO-LAT-v1,acerba,A C_FRONT E R P A
PHONO-LAT-v1,duo,T U O
PHONO-LAT-v1,quando,K W A N T O
PHONO-LAT-v1,certamina,C_FRONT E R T A M I N A
PHONO-LAT-v1,tauri,T A U R I
PHONO-LAT-v1,Concurrunt,K O N K U R R U N T
PHONO-LAT-v1,largo,L A R K O
PHONO-LAT-v1,miscentes,M I S C_FRONT E N T E S
PHONO-LAT-v1,sanguine,S A N K U I N E
PHONO-LAT-v1,pugnam,P U K N A M
PHONO-LAT-v1,Cuique,K U I K W E
PHONO-LAT-v1,suum,S U U M
PHONO-LAT-v1,pecus,P E K U S
PHONO-LAT-v1,inclinat,I N K L I N A T
PHONO-LAT-v1,sin,S I N
PHONO-LAT-v1,cesserit,C_FRONT E S S E R I T
PHONO-LAT-v1,uni,U N I
PHONO-LAT-v1,Palma,P A L M A
PHONO-LAT-v1,duci,T U C_FRONT I
PHONO-LAT-v1,mox,M O K S
PHONO-LAT-v1,quae,K W A E
PHONO-LAT-v1,uicto,U I K T O
PHONO-LAT-v1,pecora,P E K O R A
PHONO-LAT-v1,fauebant,F A U E P A N T
PHONO-LAT-v1,Nunc,N U N C_FRONT
PHONO-LAT-v1,sese,S E S E
PHONO-LAT-v1,imperio,I M P E R I O
PHONO-LAT-v1,subdunt,S U P T U N T
PHONO-LAT-v1,uictoris,U I K T O R I S
PHONO-LAT-v1,ultro,U L T R O
PHONO-LAT-v1,Quanquam,K W A N K W A M
PHONO-LAT-v1,animum,A N I M U M
PHONO-LAT-v1,dolor,T O L O R
PHONO-LAT-v1,altus,A L T U S
PHONO-LAT-v1,habet,H A P E T
PHONO-LAT-v1,parere,P A R E R E
PHONO-LAT-v1,fatentur,F A T E N T U R
PHONO-LAT-v1,Non,N O N
PHONO-LAT-v1,aliter,A L I T E R
PHONO-LAT-v1,licet,L I C_FRONT E T
PHONO-LAT-v1,maeror,M A E R O R
PHONO-LAT-v1,adhausit,A T H A U S I T
PHONO-LAT-v1,Pectora,P E K T O R A
PHONO-LAT-v1,pulsa,P U L S A
PHONO-LAT-v1,metu,M E T U
PHONO-LAT-v1,caesi,K A E S I
PHONO-LAT-v1,ducis,T U C_FRONT I S
PHONO-LAT-v1,incluta,I N K L U T A
PHONO-LAT-v1,malunt,M A L U N T
PHONO-LAT-v1,Arma,A R M A
PHONO-LAT-v1,sequi,S E K W I
PHONO-LAT-v1,Phrygium,F R I G_FRONT I U M
PHONO-LAT-v1,Aenean,A E N E A N
PHONO-LAT-v1,foedusque,F O E T U S K W E
PHONO-LAT-v1,precari,P R E K A R I
PHONO-LAT-v1,Pacis,P A C_FRONT I S
PHONO-LAT-v1,aeternam,A E T E R N A M
PHONO-LAT-v1,rebus,R E P U S
PHONO-LAT-v1,belloque,P E L L O K W E
PHONO-LAT-v1,quietem,K W I E T E M
PHONO-LAT-v1,Tunc,T U N C_FRONT
PHONO-LAT-v1,Turnum,T U R N U M
PHONO-LAT-v1,super,S U P E R
