base,suffixed,base_final_pct,suffixed_final_pct,delta_final_pct
or,ory,4.102564102564102,64.70588235294117,60.60331825037707
shek,sheky,0.0,6.25,6.25
s,sy,12.195121951219512,55.0,42.80487804878049
otee,oteey,0.0,5.0,5.0
sair,sairy,0.0,40.0,40.0
shod,shody,0.0,20.0,20.0
chd,chdy,33.333333333333336,12.037037037037036,-21.296296296296298
cth,cthy,12.5,27.0,14.5
she,shey,0.0,5.232558139534884,5.232558139534884
che,chey,4.545454545454546,6.078431372549019,1.5329768270944735
ch,chy,0.0,10.65989847715736,10.65989847715736
okee,okeey,16.666666666666668,7.106598984771574,-9.560067681895095
ok,oky,7.6923076923076925,27.184466019417474,19.49215832710978
kee,keey,20.0,5.2631578947368425,-14.736842105263158
chod,chody,18.181818181818183,8.75,-9.431818181818183
chok,choky,0.0,20.512820512820515,20.512820512820515
k,ky,23.076923076923077,17.647058823529413,-5.429864253393664
qo,qoy,0.0,8.333333333333334,8.333333333333334
shee,sheey,0.0,2.8368794326241136,2.8368794326241136
qoke,qokey,0.0,5.376344086021505,5.376344086021505
qot,qoty,25.0,19.047619047619047,-5.9523809523809526
sh,shy,7.407407407407407,11.702127659574469,4.294720252167061
qokee,qokeey,0.0,3.8251366120218577,3.8251366120218577
qokod,qokody,14.285714285714286,14.285714285714286,0.0
ol,oly,8.16326530612245,64.61538461538461,56.452119309262166
okar,okary,5.384615384615385,90.0,84.61538461538461
shok,shoky,0.0,0.0,0.0
od,ody,33.333333333333336,26.31578947368421,-7.017543859649127
d,dy,30.18867924528302,35.78431372549019,5.595634480207174
sheod,sheody,0.0,2.7027027027027026,2.7027027027027026
chckh,chckhy,0.0,7.801418439716312,7.801418439716312
ytal,ytaly,21.05263157894737,20.0,-1.05263157894737
chor,chory,2.7906976744186047,66.66666666666667,63.87596899224807
ot,oty,6.25,26.31578947368421,20.06578947368421
qok,qoky,9.523809523809524,20.437956204379564,10.91414668057004
t,ty,20.0,7.6923076923076925,-12.307692307692307
chee,cheey,14.285714285714286,3.1914893617021276,-11.09422492401216
qod,qody,33.333333333333336,14.285714285714286,-19.04761904761905
char,chary,7.594936708860759,71.42857142857143,63.83363471971067
r,ry,8.16326530612245,81.81818181818181,73.65491651205936
chol,choly,1.6348773841961852,23.80952380952381,22.174646425327627
sar,sary,18.181818181818183,72.72727272727273,54.54545454545455
cho,choy,2.5974025974025974,8.695652173913043,6.098249576510446
dal,daly,23.157894736842106,48.484848484848484,25.326953748006378
dar,dary,14.982578397212544,77.77777777777777,62.79519938056523
cthol,ctholy,10.909090909090908,40.0,29.090909090909093
ote,otey,0.0,7.317073170731708,7.317073170731708
