glyph,total_occurrences,token_final_occurrences,final_share_pct
n,6168,6067,98.36251621271076
m,1063,1018,95.76669802445907
y,17157,14867,86.65267820714577
r,7534,5860,77.78072736925935
l,10578,5880,55.58706749858196
s,2808,1412,50.28490028490028
d,10324,717,6.944982564897327
