suffix,paired_types,median_mean_cos,mean_mean_cos,median_succ_cos,median_pred_cos
m,8,0.3204797936267404,0.3094333028104168,0.27844370354274917,0.32133101949457
l,49,0.3089298237820497,0.31419629249929143,0.24727817698957308,0.2991135733747587
y,102,0.2989607915520218,0.30383369598224685,0.27692296455024945,0.30171788919967213
s,30,0.2975189619522745,0.30922370818496847,0.25529615863225064,0.3039468795244018
n,2,0.2924396383098691,0.2924396383098691,0.33531569563351077,0.24956358098622733
r,46,0.2872842404246061,0.28986408169562927,0.2366111098241442,0.271386235768471
d,19,0.2653374833623311,0.28393514174124457,0.2627719454506793,0.2752788282824474
