a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
shey,l,344,156,382,144,0.2861865329559973,42
cthor,tar,45,43,41,36,0.28602803212078903,7
or,chol,390,367,407,365,0.2858214296633816,52
char,chy,79,197,74,151,0.285798183102647,23
qo,cthor,51,45,56,41,0.285718950551559,11
ckhey,tol,32,42,32,46,0.28571428571428575,4
chey,tol,510,42,581,46,0.2856850717879308,19
ches,sol,44,63,45,76,0.28562811185292314,8
shody,char,50,79,44,74,0.2855936038564354,10
oky,sol,103,63,92,76,0.28559038965724703,16
s,dain,328,173,285,145,0.2854937806071194,36
s,al,328,311,285,250,0.28542078627407313,38
cheo,l,75,156,58,144,0.28539997084149704,14
ar,qo,449,51,400,56,0.28511844818474286,27
char,key,79,33,74,36,0.2850169183305506,11
