a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
ain,dol,149,97,105,91,0.3531366515763373,13
oky,kar,103,58,92,47,0.35297374168985096,13
chal,shy,59,94,55,82,0.3529428679643902,12
sor,chl,43,33,47,30,0.3528038948697904,8
sho,kchy,118,36,124,35,0.35280034737282073,12
qo,sor,51,43,56,47,0.3527811580208692,10
dain,kar,173,58,145,47,0.3525681028700838,17
chol,sor,367,43,365,47,0.35256499356685517,16
y,cheo,210,75,185,58,0.35248634494135894,14
ain,dy,149,204,105,144,0.3524840972676279,26
ar,chdy,449,108,400,112,0.3521708439746107,46
y,shar,210,34,185,24,0.3518858836138167,16
ar,am,449,115,400,39,0.3517991856987522,22
sho,dar,118,287,124,245,0.35177726059146996,26
dain,oty,173,114,145,79,0.35141649543734,24
shor,sol,91,63,87,76,0.35136611240321564,11
chy,chedy,197,341,151,408,0.3510583743315137,37
dar,qo,287,51,245,56,0.3509823084052073,19
cthy,tol,100,42,71,46,0.35096133648568406,8
chckhy,key,141,33,156,36,0.3507853424905877,13
y,chdy,210,108,185,112,0.35064676973913705,39
shody,shy,50,94,44,82,0.35053409200798713,11
ches,key,44,33,45,36,0.35032452487268534,9
chdy,al,108,311,112,250,0.35022520372294236,38
am,air,115,95,39,76,0.3499829114078456,8
shol,key,176,33,179,36,0.34984065098860834,17
am,sor,115,43,39,47,0.34975315971020576,6
cthol,dair,55,93,40,76,0.3495010688839122,9
qoty,dor,84,63,72,69,0.3491694088895792,10
dair,dy,93,204,76,144,0.34911204114718547,15
dain,qo,173,51,145,56,0.3489617881180364,17
oky,l,103,156,92,144,0.34879358830103757,25
shody,cthey,50,47,44,47,0.34875597165181743,13
ckhey,cthor,32,45,32,41,0.3487251000462956,5
chal,cthor,59,45,55,41,0.3484813916980648,11
oky,chcthy,103,84,92,88,0.3483525319574712,20
dol,shor,97,91,91,87,0.3481438016936254,13
chdy,chy,108,197,112,151,0.3480161332882401,34
kchy,qoty,36,84,35,72,0.34771082484059707,9
cho,sor,77,43,58,47,0.34721483196269676,4
oly,chckhy,65,141,37,156,0.34686583016987066,16
chcthy,kar,84,58,88,47,0.34682376543912036,17
sor,oly,43,65,47,37,0.3466666666666667,9
shol,sal,176,48,179,42,0.3465296751145415,16
chol,she,367,41,365,34,0.3465010953332736,25
dor,oly,63,65,69,37,0.3462971033640562,11
dair,oly,93,65,76,37,0.3461221891190593,12
chdy,qoky,108,137,112,113,0.34597433700274466,29
shor,chckhy,91,141,87,156,0.34587418530340286,21
or,chl,390,33,407,30,0.3456478074901463,14
char,al,79,311,74,250,0.3455993581461494,28
shol,shedy,176,255,179,298,0.3455955446726496,38
al,kar,311,58,250,47,0.34523944142915963,26
she,shedy,41,255,34,298,0.3452383398798625,13
sor,cthor,43,45,47,41,0.3452135770694766,8
chckhy,kar,141,58,156,47,0.3447524591952303,20
shody,chol,50,367,44,365,0.34449548459356416,21
chcthy,shy,84,94,88,82,0.3441804948462093,24
sor,dy,43,204,47,144,0.3441236008058426,14
cthol,chckhy,55,141,40,156,0.34401648061622614,11
shody,cthor,50,45,44,41,0.34384095303675166,7
cthor,qoty,45,84,41,72,0.34369571925919046,7
char,am,79,115,74,39,0.34359710135414123,9
chal,dor,59,63,55,69,0.3435824574434601,12
ar,chl,449,33,400,30,0.3433202518599768,18
ckhy,chcthy,38,84,29,88,0.34275531069192616,11
sho,ol,118,588,124,628,0.34261303513719815,46
qo,qoky,51,137,56,113,0.3424075912604484,19
char,chey,79,510,74,581,0.3417959426892928,35
dal,air,190,95,138,76,0.34141531479696996,16
dy,qol,204,147,144,143,0.34136007019494896,27
shody,chedy,50,341,44,408,0.3413467659879363,15
shol,sheo,176,46,179,35,0.3410953065941816,18
dy,daly,204,33,144,25,0.3409016308284957,11
chal,am,59,115,55,39,0.34088932749037176,10
chor,air,215,95,199,76,0.3408544005606991,14
y,cho,210,77,185,58,0.3408451311590223,20
shcthy,chedy,30,341,36,408,0.3407651640470497,15
shol,shckhy,176,55,179,67,0.34073639373323983,19
r,dal,196,190,180,138,0.3405340600143536,24
ckhey,chal,32,59,32,55,0.34050261230349943,9
cho,tar,77,43,58,36,0.33999275762786196,3
qoky,chedy,137,341,113,408,0.33994188354105104,37
shody,sho,50,118,44,124,0.3397841913675454,17
ar,cthor,449,45,400,41,0.3395288894893748,20
kchy,ol,36,588,35,628,0.33929543245153665,16
cthey,shy,47,94,47,82,0.3391231227194379,14
am,kal,115,30,39,27,0.3390516357875379,8
shor,al,91,311,87,250,0.33850037611686745,28
shol,or,176,390,179,407,0.3380454422804076,38
r,qol,196,147,180,143,0.33763064607022764,24
shey,kol,344,35,382,32,0.33740775267784184,19
oly,key,65,33,37,36,0.337099931231621,9
chal,sar,59,77,55,49,0.33703860958378806,11
sal,kar,48,58,42,47,0.33687431280049684,10
shol,cthor,176,45,179,41,0.33660138533707407,14
oky,kal,103,30,92,27,0.33659562807192855,9
sho,chody,118,80,124,87,0.3365091663529004,25
char,chal,79,59,74,55,0.33645230966426365,14
chdy,ckhy,108,38,112,29,0.33634998607300864,11
tol,shckhy,42,55,46,67,0.33619908880831545,6
dol,sor,97,43,91,47,0.3360425912225679,7
kchy,chy,36,197,35,151,0.3357228501819507,13
chdy,am,108,115,112,39,0.3353930851693735,15
daly,l,33,156,25,144,0.3353666830097938,7
shody,qoky,50,137,44,113,0.33533643072356617,14
or,ain,390,149,407,105,0.33516459721855657,36
shor,dor,91,63,87,69,0.3351481206863169,15
kal,chcthy,30,84,27,88,0.33506201438013733,12
dy,l,204,156,144,144,0.33431725346298075,31
cheo,chl,75,33,58,30,0.33421342287388955,7
y,she,210,41,185,34,0.3340754492797365,12
shody,chy,50,197,44,151,0.3337399027884709,17
