representation,short_forms_len<=3_count>=12,short_occurrences,weighted_context_entropy,left_edge_forms,right_edge_forms,broad_context_forms
EVA,133,9762,6.175545198794818,11,12,14
LATENT_v0.1,157,11279,6.153862058769133,13,14,16
