active,short_forms,short_occ,weighted_context_entropy,left,right,broad,or_s_cos,or_r_cos,s_r_cos,or_s_diff_families,or_s_median_TV,n_families,entropy_delta_vs_full,or_s_delta_vs_full
CH+DA+DY+QO+SH,157,11279,6.153862058769133,13,14,16,0.9589426279165523,0.9590085283533429,0.9546016661996101,3,0.29545454545454547,538,0.0,0.0
CH+DA+DY+SH,152,11006,6.164200701336602,13,14,16,0.9588875273546705,0.9589534240048413,0.95460166619961,3,0.29545454545454547,540,0.010338642567469414,-5.510056188173795e-05
CH+DY+QO+SH,149,10887,6.174509390111902,11,13,16,0.9571086290299542,0.9596106661449082,0.9525368502766074,3,0.29545454545454547,550,0.020647331342769526,-0.001833998886598076
CH+DA+QO+SH,147,10441,6.138178973482013,13,13,14,0.9624348757055007,0.9494658633943414,0.956482661729819,3,0.25,528,-0.015683085287119702,0.0034922477889484105
DA+DY+QO+SH,157,11279,6.153862058769133,13,14,16,0.9589426279165523,0.9590085283533429,0.9546016661996101,3,0.29545454545454547,538,0.0,0.0
CH+DA+DY+QO,157,11279,6.153862058769133,13,14,16,0.9589426279165523,0.9590085283533429,0.9546016661996101,3,0.29545454545454547,538,0.0,0.0
NONE,133,9762,6.175545198794818,11,12,14,0.9613169780683087,0.9511823456456109,0.9543215624226677,3,0.25,539,0.021683140025684722,0.002374350151756466
