a,b,count_a,count_b,succ_cos,pred_cos,score
ar,chol,449,367,0.3669290909864383,0.408670841015846,0.37945161599526056
qo,sal,51,48,0.393078174216153,0.3470818871618163,0.37927928809985195
ar,ody,449,38,0.35185131181992374,0.4429616627239041,0.37918441709111783
kchy,al,36,311,0.4875777468329003,0.1256233471435694,0.378991426926101
s,qol,328,147,0.42217954965271,0.278020170954036,0.37893173604310776
ckhey,shey,32,344,0.39717818157919504,0.33633046421403306,0.3789238663696464
or,chdy,390,108,0.31022088557327837,0.5391153894569197,0.3788892367383707
sy,dy,40,204,0.361648476473653,0.4187662940985989,0.37878382176113673
cthor,qoty,45,84,0.44683056149457057,0.21953849058029323,0.3786429402202874
cheo,qoky,75,137,0.4503205164128034,0.21095130679418475,0.37850975352721783
shol,lor,176,38,0.4444719452810324,0.2241195978744947,0.3783662410590711
cthey,shor,47,91,0.39133752625439466,0.34751562943250414,0.37819095720782747
dam,oty,59,114,0.3962720528736321,0.3359659719798394,0.3781802286054943
tol,kal,42,30,0.3914190539095155,0.3468878079847373,0.37805968013208197
shar,chol,34,367,0.35704102306886276,0.4269232474655698,0.37800569038787485
shody,lol,50,35,0.4516387521771451,0.20616345280441248,0.3779961623653253
char,qo,79,51,0.41841859709015317,0.2833911532364189,0.3779103639340329
chor,kal,215,30,0.36552706418099185,0.40672092121848546,0.3778852212922399
chckhy,shcthy,141,30,0.40847200424760627,0.3063586019529889,0.37783798355922105
chol,o,367,114,0.3640566789562704,0.40997982631265467,0.3778336231631857
dol,sheo,97,46,0.3960939289958187,0.33521451861631096,0.37783010588196636
qoty,tar,84,43,0.3595668829676619,0.4195679505471251,0.37756720324150084
kal,sol,30,63,0.4254843587358109,0.265651912275193,0.37753462479762556
sol,daly,63,33,0.3632257521430266,0.4109030480965857,0.3775289409290943
dam,cheo,59,75,0.3576453644580706,0.42388266998081986,0.3775165561148953
chal,ody,59,38,0.3393733254682687,0.46643365011048266,0.37749142286093285
shar,cheo,34,75,0.4051217382156955,0.31295306261789047,0.377471135536354
chor,sol,215,63,0.3943805130473773,0.33735016009044877,0.3772714071602987
cthey,oly,47,65,0.38611340725711324,0.35616612550499055,0.3771292227314764
ckhy,dy,38,204,0.3443023439711663,0.4530426426472246,0.37692443357398375
shody,qo,50,51,0.4289425897285311,0.2555202117192106,0.3769158763257349
cthey,qoty,47,84,0.3849015494038511,0.35779271460716866,0.37676889896484633
chol,dam,367,59,0.348231932325024,0.44333632444704796,0.37676324996163113
sal,chedy,48,341,0.40121489033800545,0.31935154486120515,0.37665588669496536
r,chl,196,33,0.3958736679638278,0.3317268715663189,0.3766296290445751
chal,lor,59,38,0.3984115462369271,0.325540393383249,0.37655020038082365
chy,lol,197,35,0.45342667046405394,0.19705795816731228,0.3765160567750314
tol,oly,42,65,0.4012206419035933,0.3185546341059285,0.37642083956429384
kal,daly,30,33,0.32010789024179004,0.5076725587293376,0.37637729078805426
chcthy,chl,84,33,0.3165148671978472,0.5159616355668186,0.37634889770853863
am,oty,115,114,0.36221856671950975,0.4090592512897417,0.37627077209057935
shy,air,94,95,0.4008961992490309,0.31873848504544183,0.37624888498795417
cthor,oty,45,114,0.4132539961817021,0.2898148995912376,0.3762222672045627
s,ckhey,328,32,0.38114703634739255,0.36465233947001363,0.37619862728417885
chody,aly,80,39,0.4159307226126388,0.2824683496707921,0.37589201073008477
chor,tar,215,43,0.35872804894226024,0.4157833973377454,0.3758446534609058
cho,chedy,77,341,0.36071470075374046,0.41089582202064556,0.37576903713381193
oky,air,103,95,0.4252770213288602,0.2602080299430737,0.37575632391312425
ckhey,chal,32,59,0.41793813107402,0.27723197625967927,0.37572628462971774
dar,chl,287,33,0.34300059149289513,0.45204447960375044,0.3757137579261517
kal,sheo,30,46,0.37275394415073493,0.38247369022753036,0.37566986797377355
chcthy,ches,84,44,0.3800546938723785,0.36489207502369014,0.37550590821777197
r,chody,196,80,0.3849170212324021,0.3534099903072722,0.37546491195486315
dor,tar,63,43,0.3862513570551428,0.35,0.3753759499385999
chy,tar,197,43,0.3567649581681143,0.4185198532342706,0.3752914266879612
qo,o,51,114,0.3610614517713483,0.4078676665939672,0.3751033162181339
cthey,air,47,95,0.4165277244251677,0.27838832228102334,0.37508590378192436
chl,l,33,156,0.44498164243382204,0.2118375545589854,0.375038416071371
or,sy,390,40,0.37893473798402083,0.3658571262577021,0.37501145446612516
am,dam,115,59,0.3866140450725092,0.3478747300160578,0.3749922505555738
chal,cthey,59,47,0.44584599526900165,0.20915278387523556,0.3748380318508718
r,daly,196,33,0.37086236700268194,0.38410974740759707,0.37483658112415646
d,ckhy,53,38,0.3947524269126236,0.32808835258216457,0.3747532046134858
chor,d,215,53,0.38520434093799083,0.35015288273729134,0.37468890347778094
sy,al,40,311,0.41765533646318864,0.27416761264845285,0.3746090193187679
chal,cheo,59,75,0.3794196241678706,0.3633533413880349,0.3745997393339199
chy,ches,197,44,0.3552714431892627,0.4195461444633187,0.37455385357147947
kol,cthor,35,45,0.40791856441042074,0.29658981992537287,0.3745199410649063
s,ckhy,328,38,0.37425375760481977,0.37502008321795904,0.37448365528876154
sy,cthey,40,47,0.3962029078465308,0.3235957098824718,0.3744207484573131
sy,cheo,40,75,0.3689105057331792,0.38722962900527846,0.37440624271480893
kol,key,35,33,0.37484623148217205,0.3725445133328558,0.3741557160373772
kal,sal,30,48,0.34716897101083494,0.4371127888314632,0.3741521163570234
kchy,qo,36,51,0.43156594318822983,0.2396721833526806,0.37399781523756503
sy,chal,40,59,0.36004346260420944,0.40635681905850285,0.37393746954049745
shar,chos,34,42,0.394115090481771,0.3266206277667696,0.37386675166727057
am,daly,115,33,0.3180919013680021,0.5034148737251606,0.3736887930751496
sy,lol,40,35,0.41386445097855856,0.2794879493728592,0.3735515004968487
sheo,l,46,156,0.42733498465557923,0.24792820749016672,0.3735129515059555
shody,chcthy,50,84,0.3424220110395111,0.44601493266003434,0.37349988752566804
oly,tar,65,43,0.362817228059899,0.3981932926324106,0.3734300474316525
ar,chody,449,80,0.37391764954831935,0.3722198183747643,0.3734083001962528
kol,kar,35,58,0.3807476286642671,0.35624362199745585,0.3733964266642237
shckhy,sol,55,63,0.33926901367415113,0.4528334128517263,0.3733383334274237
sy,char,40,79,0.3500728441409496,0.42754681990946136,0.37331503687150314
dal,cheo,190,75,0.3808652552779168,0.35543434485083153,0.37323598214979126
shody,dam,50,59,0.31592929708198464,0.5065772451906966,0.3731236815145982
sor,cthor,43,45,0.39845628194788246,0.3139867712371797,0.37311542873467163
y,shcthy,210,30,0.39162398444945207,0.3295147965630702,0.37299122808353746
sy,chol,40,367,0.4163538030787246,0.2715424696809351,0.3729104030593877
char,daly,79,33,0.3598832352299712,0.40318180772907164,0.3728728069797013
dair,kal,93,30,0.3709468393414646,0.3772194475674056,0.3728286218092469
kol,kal,35,30,0.3654822613648512,0.389504331171503,0.3726888823068467
cthol,sor,55,43,0.40257881409266205,0.3027825885323781,0.3726399464245769
shey,sar,344,77,0.3854256275377614,0.3425267309327972,0.3725559585562721
she,kar,41,58,0.39296080224624913,0.3248225082037094,0.37251931403348715
cheo,chedy,75,341,0.3019630509586572,0.537145616958304,0.3725178207585512
dam,qoky,59,137,0.38193360720096914,0.35043093866921077,0.3724828066414416
oky,qol,103,147,0.4230310454895268,0.2538111555975957,0.37226507852194746
chdy,tar,108,43,0.3873898188158575,0.33693327495484854,0.3722528556575548
oky,kal,103,30,0.3581919278751266,0.4049322121685353,0.37221401316314917
tol,sar,42,77,0.4006299004499387,0.3058581783206946,0.37219838381116543
s,sheo,328,46,0.35528446704608724,0.41158729503700003,0.372175315443361
daly,aly,33,39,0.3484660262185847,0.4274524026945494,0.3721619391613741
tar,chedy,43,341,0.40313386183594974,0.29986610582972845,0.3721535350340833
dol,key,97,33,0.3772301544352164,0.3592868362697464,0.37184715898557535
ckhey,shcthy,32,30,0.41316583392439976,0.2753281174644287,0.3718145189864084
ckhy,chedy,38,341,0.381276194753632,0.3494177050199279,0.3717186478335207
cthor,ody,45,38,0.45672779241529626,0.17312969867188588,0.37164836429227316
kchy,lol,36,35,0.4115047123630197,0.27804394665205706,0.3714664826497309
dy,chos,204,42,0.3518393420569218,0.4172573651212205,0.3714647489762114
