a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
shckhy,qol,55,147,64,132,0.3493633681433418,18,11
sal,dy,48,204,44,144,0.349032594505717,21,17
shey,kol,344,35,374,33,0.3488810142348662,27,19
shol,o,176,114,181,83,0.3488326397089524,31,19
am,oly,115,65,38,33,0.3486509069123272,10,8
ckhy,oty,38,114,27,79,0.3485357403387618,9,7
chor,d,215,53,199,32,0.3484087645262718,15,7
or,ain,390,149,406,107,0.34839890347450353,67,39
cthol,chckhy,55,141,43,153,0.34832497825280756,21,13
d,kar,53,58,32,47,0.34794143201242816,5,3
dar,cho,287,77,242,59,0.34794143201242805,27,23
ar,oty,449,114,388,79,0.34783797038896547,49,42
ckhey,chal,32,59,32,57,0.3475944732129945,12,10
dar,chy,287,197,242,157,0.3473821479281878,55,42
shey,dar,344,287,374,242,0.3469948314861706,88,51
dol,oty,97,114,89,79,0.34670510083995637,21,15
shol,shcthy,176,30,181,33,0.34663942041478996,20,16
cho,sor,77,43,59,45,0.34630832109954646,7,3
or,chl,390,33,406,28,0.3459135533383611,14,14
y,cho,210,77,176,59,0.3458929005160497,29,22
chckhy,kar,141,58,153,47,0.34574123499307263,23,19
shar,shor,34,91,24,85,0.34570535882735637,10,8
chal,shy,59,94,57,77,0.34561331672502194,16,14
chol,ckhy,367,38,362,27,0.3452326249121853,20,17
kchy,dal,36,190,36,139,0.3448507617097775,13,9
chol,dol,367,97,362,89,0.3443894457203462,52,33
ckhey,chdy,32,108,32,113,0.34433138480844666,16,15
sor,cthor,43,45,45,42,0.34419020752296814,9,8
ain,qo,149,51,107,59,0.34413333068088386,18,15
oky,key,103,33,90,36,0.34412360080584264,14,13
chdy,oly,108,65,113,33,0.34401045807689073,17,16
y,lor,210,38,176,39,0.34346715255221927,23,10
chdy,shy,108,94,113,77,0.34291313324583284,25,21
s,dal,328,190,291,139,0.3426809492518637,52,31
chy,oty,197,114,157,79,0.34203205230607325,27,21
dal,air,190,95,139,70,0.3418690245077904,22,18
chcthy,oly,84,65,94,33,0.34179953639073746,17,16
o,sol,114,63,83,69,0.34160946253543123,21,16
chdy,qo,108,51,113,59,0.3415861117452692,22,20
shol,ckhy,176,38,181,27,0.3412493631049718,18,15
sar,l,77,156,48,137,0.3412437883532003,19,11
shy,shckhy,94,55,77,64,0.3410750234391089,17,11
y,oly,210,65,176,33,0.34073639373323994,17,16
kol,ckhy,35,38,33,27,0.34073416799996786,10,9
ar,key,449,33,388,36,0.3406953416465651,19,18
cthor,chcthy,45,84,42,94,0.34048476918766934,16,12
ckhy,qo,38,51,27,59,0.34042745295042137,10,9
