position,unit_a,unit_b,train_distinct_core_support,validation_distinct_core_support,train_adjacent_observed,train_adjacent_null_mean,train_adjacent_z,example_cores
LAST,d,l,74,25,2,1.47,0.5569847084317567,o+p+CH+o | o+k+CH+e+o | t+CH+o | CH+o | CH+e+e
LAST,d,o,64,17,1,0.23333333333333334,1.716233153846314,CH+o+l | o+t+e+e | CH+e+e | CH | SH+e+e
LAST,e,y,59,21,0,0.6166666666666667,-0.9249033387321673,QO+t+e+o+d | o+t+e+e | CH+e+e | CH | CH+e
LAST,o,s,50,16,0,1.0066666666666666,-1.1009379935583976,CH+o+l | o+t+e+e | CH+e+e | CH | SH+e+e
LAST,m,n,41,16,0,0.8066666666666666,-1.0490711691887153,CH+o | a | DA+i+i | DA+i | s+a
LAST,l,n,39,17,0,0,,CH+o | a | s+a | s+a+i | o+k+a
LAST,m,s,37,12,0,0.25,-0.5763872155263527,CH+o | a | CH+e+o | CH | o+k+e+o
LAST,m,y,36,14,0,0,,CH+o | DA+i+i | CH+e+o | CH | o+k+e+o
LAST,e,o,34,13,0,0,,o+t+e+e | CH+e+e | CH | CH+e | ckh
LAST,o,r,33,16,0,0.32666666666666666,-0.6566949618826806,CH+o+l | CH | SH+e+e | CH+e | d
LAST,g,y,33,5,0,0,,y+k+CH+d | CH+e+e | CH+e+o | QO+k+e+o | y+k+e+e+o
LAST,d,e,32,7,0,0,,o+t+e+e | CH+e+e | CH | CH+e | QO+k+e+e
LAST,d,m,31,11,0,0,,CH+o | DA+i | CH+e+o | CH | o+k+e+o
LAST,l,o,29,15,0,0,,CH+e+e | CH | SH+e+e | CH+e | d
LAST,g,r,26,7,1,0.37666666666666665,1.1334012118308836,a | DA+i | CH+e+o | QO+k+e+o | y+k+e+e+o
LAST,e,s,26,6,0,0.17,-0.45181472550674906,o+t+e+e | CH+e+e | CH | CH+e | QO+k+e+e
LAST,g,l,23,7,0,0,,a | CH+e+e | CH+e+o | QO+k+e+o | y+k+e+e+o
LAST,n,s,22,3,0,0.20666666666666667,-0.5095447520500399,CH+o | a | s+a | o+k+a | SH+o
LAST,g,s,22,5,0,0.21666666666666667,-0.525046434960993,a | CH+e+e | CH+e+o | QO+k+e+o | y+k+e+e+o
LAST,e,r,22,7,0,0,,CH | CH+e | QO+k+e+e | SH+e+o | SH+e
LAST,g,m,18,5,0,0,,a | DA+i | CH+e+o | o | o+k+a
LAST,e,l,18,7,0,0,,CH+e+e | CH | CH+e | ckh | SH+e+o
LAST,d,g,17,4,1,0.4033333333333333,1.2142519151718982,CH+e+e | DA+i | CH+e+o | QO+k+e+o | y+k+e+e+o
LAST,CH,y,17,5,0,0,,d | l | QO+k | CH+o+k | o+k
LAST,k,s,13,6,0,0,,CH+o | CH+e+e | CH+e+o | SH+e+e | CH+e
LAST,a,y,13,4,0,0,,CH+e+e | CH+o+k+e+e | SH | o+k | o+t+e
LAST,m,o,13,2,0,0,,CH | CH+e | d | SH+e | k+o
