ending,line_final_observed,line_final_expected_within_stem,z_within_stem,MH_OR_line_final,MH_OR_Currier_A_vs_B
m,456.0,132.4214799150901,35.78553196948375,16.90224861503717,1.894261071273936
y,863.0,766.4160573639028,8.956647489068793,2.258821148333642,0.9427247323982807
n,390.0,363.1848753156807,3.995509246486172,1.719044326651787,1.1180911204094675
s,52.0,54.37193083233291,-0.3897136218333265,0.9429495341273122,1.2097882011371492
l,380.0,480.4421528321433,-6.517102835962598,0.6466911660003916,0.75304361899036
Ø,184.0,269.565867130439,-8.142977010299221,0.45233881428727785,1.1373920367418917
r,284.0,542.5976366104109,-16.089356740416584,0.32931377735465117,1.0470811813588878
