comparison,pages,mean_page_gain_bits,ci95_low,ci95_high
STEM_ONLY -> CURRIER_L,227,0.06292574986823751,0.05546415916433763,0.07013841562285668
STEM_ONLY -> LINE_POSITION,227,0.05639058921295122,0.04965435871184903,0.06322112489341744
STEM_ONLY -> NEXT_FUNCTION_ROLE,227,0.04771913225328128,0.04187773868596975,0.053214357476117406
CURRIER_L -> CURRIER_L+LINE_POSITION,227,0.01136142497790534,0.0065274970359622585,0.016301500060656202
CURRIER_L -> CURRIER_L+NEXT_FUNCTION_ROLE,227,-0.002017231081705693,-0.0065448174947561185,0.00223244352324627
