model,bits_per_occurrence,gain_vs_stem
CURRIER_L+LINE_POSITION,1.1911106553746422,0.09057508159068473
CURRIER_L+NEXT_FUNCTION_ROLE,1.208079808024981,0.0736059289403459
CURRIER_L,1.2093132670367164,0.07237246992861057
LINE_POSITION+NEXT_FUNCTION_ROLE,1.2114650117563273,0.07022072520899969
