feature,bits_per_occurrence,gain_vs_stem
CURRIER_L,1.2093132670367164,0.07237246992861057
PARAGRAPH_MARKER,1.2101982549270265,0.07148748203830046
INTRALINE_GAP,1.2140714989750525,0.06761423799027444
LINE_POSITION,1.2141956927168371,0.06749004424848981
NEXT_FUNCTION_ROLE,1.2235748558639727,0.058110881101354206
PREV_FUNCTION_ROLE,1.2267922120599373,0.05489352490538968
LINE_LENGTH,1.2292380472391062,0.052447689726220714
PAGE_VERTICAL,1.244169596643191,0.037516140322136016
STEM_ONLY,1.281685736965327,0.0
