feature,I_ending_feature_given_last2_bits
I,0.08099827290406636
prev_end,0.061264156125604256
H,0.05902122916021789
next_role,0.05890329180940497
next_end,0.057604836245855585
prev_role,0.05175614644701911
L,0.038371168130195844
