grouping,model,bits_per_occurrence,accuracy,occurrences
page,GLOBAL,2.3346980830007054,0.36273928282555945,18545
page,INTERNAL,1.179003626305086,0.7238069560528444,18545
page,INTERNAL_DEEP,1.2058548707296775,0.7222971151253708,18545
page,EXTERNAL,2.2947339053713747,0.3743866271232138,18545
page,EXTERNAL_WIDE,2.31209968536972,0.36888649231598813,18545
page,STATE,2.2826741007487534,0.36419520086276624,18545
page,INTERNAL+EXTERNAL,2.0364757333293255,0.47155567538420057,18545
page,INTERNAL+STATE,1.515547639259996,0.6545699649501213,18545
page,EXTERNAL+STATE,2.280398088054875,0.37212186573200323,18545
page,ALL,2.20153463461535,0.39994607710973307,18545
stem,GLOBAL,2.368006469159052,0.36273928282555945,18545
stem,INTERNAL,2.067259584057822,0.4635211647344298,18545
stem,INTERNAL_DEEP,2.3457184637178146,0.3628471286060933,18545
stem,EXTERNAL,2.3454835819772186,0.3647344297654354,18545
stem,EXTERNAL_WIDE,2.3556544164319515,0.36527365866810463,18545
stem,STATE,2.331483139397464,0.35211647344297653,18545
stem,INTERNAL+EXTERNAL,2.295817619755519,0.38349959557832297,18545
stem,INTERNAL+STATE,2.16497718828676,0.4333782690752224,18545
stem,EXTERNAL+STATE,2.3352465613848548,0.3618765165812888,18545
stem,ALL,2.3341413315262796,0.37125909948773256,18545
