cluster,n_stems,profile,top_stems
0,115,l:0.37; r:0.35; Ø:0.14; s:0.05; y:0.04; m:0.04; n:0.02,o:1055; a:730; ch·o:716; d·a:422; sh·o:398; ch·e·o:361; q·o·k·a:327; s:317; o·t·a:285; o·k·a:267; q·o:224; sh·e·o:202
1,34,n:0.76; r:0.16; l:0.02; m:0.02; Ø:0.01; s:0.01; y:0.01,d·a·i·i:638; a·i·i:611; q·o·k·a·i:286; q·o·k·a·i·i:246; d·a·i:245; a·i:230; o·k·a·i·i:192; o·k·a·i:138; o·t·a·i·i:138; o·t·a·i:114; s·a·i·i:110; s·a·i:90
2,118,y:0.77; Ø:0.11; s:0.05; l:0.03; r:0.02; m:0.01; n:0.01,ch·e:557; sh·e:386; q·o·k·e·e:379; ch·e·d:338; sh·e·d:265; ch:247; q·o·k·e·e·d:244; ch·e·e:226; o·k·e·e:211; d:192; q·o·k·e:190; q·o·k·e·d:179
